"","Treatments","rank","Counts","Probability"
"1","Bimatoprost","1",49364,0.98728
"2","Travoprost","1",9,0.00018
"3","Latanoprost","1",0,0
"4","Levobunolol","1",598,0.01196
"5","Tafluprost","1",29,0.00058
"6","Timolol","1",0,0
"7","Carteolol","1",0,0
"8","Brinzolamide","1",0,0
"9","Brimonidine","1",0,0
"10","Levobetaxolol","1",0,0
"11","Dorzolamide","1",0,0
"12","Betaxolol","1",0,0
"13","Apraclonidine","1",0,0
"14","Unoprostone","1",0,0
"15","Bimatoprost","2",636,0.01272
"16","Travoprost","2",33408,0.66816
"17","Latanoprost","2",4011,0.08022
"18","Levobunolol","2",10691,0.21382
"19","Tafluprost","2",1245,0.0249
"20","Timolol","2",0,0
"21","Carteolol","2",9,0.00018
"22","Brinzolamide","2",0,0
"23","Brimonidine","2",0,0
"24","Levobetaxolol","2",0,0
"25","Dorzolamide","2",0,0
"26","Betaxolol","2",0,0
"27","Apraclonidine","2",0,0
"28","Unoprostone","2",0,0
"29","Bimatoprost","3",0,0
"30","Travoprost","3",14067,0.28134
"31","Latanoprost","3",25816,0.51632
"32","Levobunolol","3",8302,0.16604
"33","Tafluprost","3",1765,0.0353
"34","Timolol","3",0,0
"35","Carteolol","3",50,0.001
"36","Brinzolamide","3",0,0
"37","Brimonidine","3",0,0
"38","Levobetaxolol","3",0,0
"39","Dorzolamide","3",0,0
"40","Betaxolol","3",0,0
"41","Apraclonidine","3",0,0
"42","Unoprostone","3",0,0
"43","Bimatoprost","4",0,0
"44","Travoprost","4",2367,0.04734
"45","Latanoprost","4",18257,0.36514
"46","Levobunolol","4",21391,0.42782
"47","Tafluprost","4",6917,0.13834
"48","Timolol","4",236,0.00472
"49","Carteolol","4",787,0.01574
"50","Brinzolamide","4",11,0.00022
"51","Brimonidine","4",0,0
"52","Levobetaxolol","4",34,0.00068
"53","Dorzolamide","4",0,0
"54","Betaxolol","4",0,0
"55","Apraclonidine","4",0,0
"56","Unoprostone","4",0,0
"57","Bimatoprost","5",0,0
"58","Travoprost","5",149,0.00298
"59","Latanoprost","5",1905,0.0381
"60","Levobunolol","5",7468,0.14936
"61","Tafluprost","5",22720,0.4544
"62","Timolol","5",11513,0.23026
"63","Carteolol","5",5697,0.11394
"64","Brinzolamide","5",241,0.00482
"65","Brimonidine","5",2,4e-05
"66","Levobetaxolol","5",305,0.0061
"67","Dorzolamide","5",0,0
"68","Betaxolol","5",0,0
"69","Apraclonidine","5",0,0
"70","Unoprostone","5",0,0
"71","Bimatoprost","6",0,0
"72","Travoprost","6",0,0
"73","Latanoprost","6",11,0.00022
"74","Levobunolol","6",1084,0.02168
"75","Tafluprost","6",8506,0.17012
"76","Timolol","6",28721,0.57442
"77","Carteolol","6",9539,0.19078
"78","Brinzolamide","6",1239,0.02478
"79","Brimonidine","6",15,3e-04
"80","Levobetaxolol","6",873,0.01746
"81","Dorzolamide","6",0,0
"82","Betaxolol","6",0,0
"83","Apraclonidine","6",12,0.00024
"84","Unoprostone","6",0,0
"85","Bimatoprost","7",0,0
"86","Travoprost","7",0,0
"87","Latanoprost","7",0,0
"88","Levobunolol","7",402,0.00804
"89","Tafluprost","7",6245,0.1249
"90","Timolol","7",9302,0.18604
"91","Carteolol","7",20831,0.41662
"92","Brinzolamide","7",8692,0.17384
"93","Brimonidine","7",325,0.0065
"94","Levobetaxolol","7",4088,0.08176
"95","Dorzolamide","7",4,8e-05
"96","Betaxolol","7",0,0
"97","Apraclonidine","7",111,0.00222
"98","Unoprostone","7",0,0
"99","Bimatoprost","8",0,0
"100","Travoprost","8",0,0
"101","Latanoprost","8",0,0
"102","Levobunolol","8",58,0.00116
"103","Tafluprost","8",1833,0.03666
"104","Timolol","8",228,0.00456
"105","Carteolol","8",8647,0.17294
"106","Brinzolamide","8",24636,0.49272
"107","Brimonidine","8",2620,0.0524
"108","Levobetaxolol","8",11117,0.22234
"109","Dorzolamide","8",146,0.00292
"110","Betaxolol","8",16,0.00032
"111","Apraclonidine","8",683,0.01366
"112","Unoprostone","8",16,0.00032
"113","Bimatoprost","9",0,0
"114","Travoprost","9",0,0
"115","Latanoprost","9",0,0
"116","Levobunolol","9",6,0.00012
"117","Tafluprost","9",571,0.01142
"118","Timolol","9",0,0
"119","Carteolol","9",3216,0.06432
"120","Brinzolamide","9",12824,0.25648
"121","Brimonidine","9",13145,0.2629
"122","Levobetaxolol","9",15118,0.30236
"123","Dorzolamide","9",2601,0.05202
"124","Betaxolol","9",276,0.00552
"125","Apraclonidine","9",2069,0.04138
"126","Unoprostone","9",174,0.00348
"127","Bimatoprost","10",0,0
"128","Travoprost","10",0,0
"129","Latanoprost","10",0,0
"130","Levobunolol","10",0,0
"131","Tafluprost","10",143,0.00286
"132","Timolol","10",0,0
"133","Carteolol","10",960,0.0192
"134","Brinzolamide","10",2044,0.04088
"135","Brimonidine","10",19509,0.39018
"136","Levobetaxolol","10",9680,0.1936
"137","Dorzolamide","10",10883,0.21766
"138","Betaxolol","10",2010,0.0402
"139","Apraclonidine","10",3926,0.07852
"140","Unoprostone","10",845,0.0169
"141","Bimatoprost","11",0,0
"142","Travoprost","11",0,0
"143","Latanoprost","11",0,0
"144","Levobunolol","11",0,0
"145","Tafluprost","11",17,0.00034
"146","Timolol","11",0,0
"147","Carteolol","11",201,0.00402
"148","Brinzolamide","11",271,0.00542
"149","Brimonidine","11",8615,0.1723
"150","Levobetaxolol","11",4476,0.08952
"151","Dorzolamide","11",20687,0.41374
"152","Betaxolol","11",7664,0.15328
"153","Apraclonidine","11",5581,0.11162
"154","Unoprostone","11",2488,0.04976
"155","Bimatoprost","12",0,0
"156","Travoprost","12",0,0
"157","Latanoprost","12",0,0
"158","Levobunolol","12",0,0
"159","Tafluprost","12",9,0.00018
"160","Timolol","12",0,0
"161","Carteolol","12",43,0.00086
"162","Brinzolamide","12",34,0.00068
"163","Brimonidine","12",3901,0.07802
"164","Levobetaxolol","12",2505,0.0501
"165","Dorzolamide","12",11175,0.2235
"166","Betaxolol","12",19710,0.3942
"167","Apraclonidine","12",7071,0.14142
"168","Unoprostone","12",5552,0.11104
"169","Bimatoprost","13",0,0
"170","Travoprost","13",0,0
"171","Latanoprost","13",0,0
"172","Levobunolol","13",0,0
"173","Tafluprost","13",0,0
"174","Timolol","13",0,0
"175","Carteolol","13",15,3e-04
"176","Brinzolamide","13",6,0.00012
"177","Brimonidine","13",1559,0.03118
"178","Levobetaxolol","13",1338,0.02676
"179","Dorzolamide","13",3841,0.07682
"180","Betaxolol","13",15300,0.306
"181","Apraclonidine","13",12604,0.25208
"182","Unoprostone","13",15337,0.30674
"183","Bimatoprost","14",0,0
"184","Travoprost","14",0,0
"185","Latanoprost","14",0,0
"186","Levobunolol","14",0,0
"187","Tafluprost","14",0,0
"188","Timolol","14",0,0
"189","Carteolol","14",5,1e-04
"190","Brinzolamide","14",2,4e-05
"191","Brimonidine","14",309,0.00618
"192","Levobetaxolol","14",466,0.00932
"193","Dorzolamide","14",663,0.01326
"194","Betaxolol","14",5024,0.10048
"195","Apraclonidine","14",17943,0.35886
"196","Unoprostone","14",25588,0.51176
